scenario_id,read_ratio,payload_size_b,cardinality,nested_depth,working_set_ratio,query_selectivity,consistency_penalty_ms,index_coverage,join_fan_out
S00256,0.2,128,1000,3,0.1,0.5,0,full,10
S00257,0.2,128,1000,3,0.1,0.5,0,full,50
S00258,0.2,128,1000,3,0.1,0.5,5,none,1
S00259,0.2,128,1000,3,0.1,0.5,5,none,10
S00260,0.2,128,1000,3,0.1,0.5,5,none,50
S00261,0.2,128,1000,3,0.1,0.5,5,full,1
S00262,0.2,128,1000,3,0.1,0.5,5,full,10
S00263,0.2,128,1000,3,0.1,0.5,5,full,50
S00264,0.2,128,1000,3,0.9,0.05,0,none,1
S00265,0.2,128,1000,3,0.9,0.05,0,none,10
S00266,0.2,128,1000,3,0.9,0.05,0,none,50
S00267,0.2,128,1000,3,0.9,0.05,0,full,1
S00268,0.2,128,1000,3,0.9,0.05,0,full,10
S00269,0.2,128,1000,3,0.9,0.05,0,full,50
S00270,0.2,128,1000,3,0.9,0.05,5,none,1
S00271,0.2,128,1000,3,0.9,0.05,5,none,10
S00272,0.2,128,1000,3,0.9,0.05,5,none,50
S00273,0.2,128,1000,3,0.9,0.05,5,full,1
S00274,0.2,128,1000,3,0.9,0.05,5,full,10
S00275,0.2,128,1000,3,0.9,0.05,5,full,50
S00276,0.2,128,1000,3,0.9,0.5,0,none,1
S00277,0.2,128,1000,3,0.9,0.5,0,none,10
S00278,0.2,128,1000,3,0.9,0.5,0,none,50
S00279,0.2,128,1000,3,0.9,0.5,0,full,1
S00280,0.2,128,1000,3,0.9,0.5,0,full,10
S00281,0.2,128,1000,3,0.9,0.5,0,full,50
S00282,0.2,128,1000,3,0.9,0.5,5,none,1
S00283,0.2,128,1000,3,0.9,0.5,5,none,10
S00284,0.2,128,1000,3,0.9,0.5,5,none,50
S00285,0.2,128,1000,3,0.9,0.5,5,full,1
S00286,0.2,128,1000,3,0.9,0.5,5,full,10
S00287,0.2,128,1000,3,0.9,0.5,5,full,50
S00288,0.2,128,5000,1,0.1,0.05,0,none,1
S00289,0.2,128,5000,1,0.1,0.05,0,none,10
S00290,0.2,128,5000,1,0.1,0.05,0,none,50
S00291,0.2,128,5000,1,0.1,0.05,0,full,1
S00292,0.2,128,5000,1,0.1,0.05,0,full,10
S00293,0.2,128,5000,1,0.1,0.05,0,full,50
S00294,0.2,128,5000,1,0.1,0.05,5,none,1
S00295,0.2,128,5000,1,0.1,0.05,5,none,10
S00296,0.2,128,5000,1,0.1,0.05,5,none,50
S00297,0.2,128,5000,1,0.1,0.05,5,full,1
S00298,0.2,128,5000,1,0.1,0.05,5,full,10
S00299,0.2,128,5000,1,0.1,0.05,5,full,50
S00300,0.2,128,5000,1,0.1,0.5,0,none,1
S00301,0.2,128,5000,1,0.1,0.5,0,none,10
S00302,0.2,128,5000,1,0.1,0.5,0,none,50
S00303,0.2,128,5000,1,0.1,0.5,0,full,1
S00304,0.2,128,5000,1,0.1,0.5,0,full,10
S00305,0.2,128,5000,1,0.1,0.5,0,full,50
S00306,0.2,128,5000,1,0.1,0.5,5,none,1
S00307,0.2,128,5000,1,0.1,0.5,5,none,10
S00308,0.2,128,5000,1,0.1,0.5,5,none,50
S00309,0.2,128,5000,1,0.1,0.5,5,full,1
S00310,0.2,128,5000,1,0.1,0.5,5,full,10
S00311,0.2,128,5000,1,0.1,0.5,5,full,50
S00312,0.2,128,5000,1,0.9,0.05,0,none,1
S00313,0.2,128,5000,1,0.9,0.05,0,none,10
S00314,0.2,128,5000,1,0.9,0.05,0,none,50
S00315,0.2,128,5000,1,0.9,0.05,0,full,1
S00316,0.2,128,5000,1,0.9,0.05,0,full,10
S00317,0.2,128,5000,1,0.9,0.05,0,full,50
S00318,0.2,128,5000,1,0.9,0.05,5,none,1
S00319,0.2,128,5000,1,0.9,0.05,5,none,10
S00320,0.2,128,5000,1,0.9,0.05,5,none,50
S00321,0.2,128,5000,1,0.9,0.05,5,full,1
S00322,0.2,128,5000,1,0.9,0.05,5,full,10
S00323,0.2,128,5000,1,0.9,0.05,5,full,50
S00324,0.2,128,5000,1,0.9,0.5,0,none,1
S00325,0.2,128,5000,1,0.9,0.5,0,none,10
S00326,0.2,128,5000,1,0.9,0.5,0,none,50
S00327,0.2,128,5000,1,0.9,0.5,0,full,1
S00328,0.2,128,5000,1,0.9,0.5,0,full,10
S00329,0.2,128,5000,1,0.9,0.5,0,full,50
S00330,0.2,128,5000,1,0.9,0.5,5,none,1
S00331,0.2,128,5000,1,0.9,0.5,5,none,10
S00332,0.2,128,5000,1,0.9,0.5,5,none,50
S00333,0.2,128,5000,1,0.9,0.5,5,full,1
S00334,0.2,128,5000,1,0.9,0.5,5,full,10
S00335,0.2,128,5000,1,0.9,0.5,5,full,50
S00336,0.2,128,5000,3,0.1,0.05,0,none,1
S00337,0.2,128,5000,3,0.1,0.05,0,none,10
S00338,0.2,128,5000,3,0.1,0.05,0,none,50
S00339,0.2,128,5000,3,0.1,0.05,0,full,1
S00340,0.2,128,5000,3,0.1,0.05,0,full,10
S00341,0.2,128,5000,3,0.1,0.05,0,full,50
S00342,0.2,128,5000,3,0.1,0.05,5,none,1
S00343,0.2,128,5000,3,0.1,0.05,5,none,10
S00344,0.2,128,5000,3,0.1,0.05,5,none,50
S00345,0.2,128,5000,3,0.1,0.05,5,full,1
S00346,0.2,128,5000,3,0.1,0.05,5,full,10
S00347,0.2,128,5000,3,0.1,0.05,5,full,50
S00348,0.2,128,5000,3,0.1,0.5,0,none,1
S00349,0.2,128,5000,3,0.1,0.5,0,none,10
S00350,0.2,128,5000,3,0.1,0.5,0,none,50
S00351,0.2,128,5000,3,0.1,0.5,0,full,1
S00352,0.2,128,5000,3,0.1,0.5,0,full,10
S00353,0.2,128,5000,3,0.1,0.5,0,full,50
S00354,0.2,128,5000,3,0.1,0.5,5,none,1
S00355,0.2,128,5000,3,0.1,0.5,5,none,10
S00356,0.2,128,5000,3,0.1,0.5,5,none,50
S00357,0.2,128,5000,3,0.1,0.5,5,full,1
S00358,0.2,128,5000,3,0.1,0.5,5,full,10
S00359,0.2,128,5000,3,0.1,0.5,5,full,50
S00360,0.2,128,5000,3,0.9,0.05,0,none,1
S00361,0.2,128,5000,3,0.9,0.05,0,none,10
S00362,0.2,128,5000,3,0.9,0.05,0,none,50
S00363,0.2,128,5000,3,0.9,0.05,0,full,1
S00364,0.2,128,5000,3,0.9,0.05,0,full,10
S00365,0.2,128,5000,3,0.9,0.05,0,full,50
S00366,0.2,128,5000,3,0.9,0.05,5,none,1
S00367,0.2,128,5000,3,0.9,0.05,5,none,10
S00368,0.2,128,5000,3,0.9,0.05,5,none,50
S00369,0.2,128,5000,3,0.9,0.05,5,full,1
S00370,0.2,128,5000,3,0.9,0.05,5,full,10
S00371,0.2,128,5000,3,0.9,0.05,5,full,50
S00372,0.2,128,5000,3,0.9,0.5,0,none,1
S00373,0.2,128,5000,3,0.9,0.5,0,none,10
S00374,0.2,128,5000,3,0.9,0.5,0,none,50
S00375,0.2,128,5000,3,0.9,0.5,0,full,1
S00376,0.2,128,5000,3,0.9,0.5,0,full,10
S00377,0.2,128,5000,3,0.9,0.5,0,full,50
S00378,0.2,128,5000,3,0.9,0.5,5,none,1
S00379,0.2,128,5000,3,0.9,0.5,5,none,10
S00380,0.2,128,5000,3,0.9,0.5,5,none,50
S00381,0.2,128,5000,3,0.9,0.5,5,full,1
S00382,0.2,128,5000,3,0.9,0.5,5,full,10
S00383,0.2,128,5000,3,0.9,0.5,5,full,50
S00384,0.2,4096,10,1,0.1,0.05,0,none,1
S00385,0.2,4096,10,1,0.1,0.05,0,none,10
S00386,0.2,4096,10,1,0.1,0.05,0,none,50
S00387,0.2,4096,10,1,0.1,0.05,0,full,1
S00388,0.2,4096,10,1,0.1,0.05,0,full,10
S00389,0.2,4096,10,1,0.1,0.05,0,full,50
S00390,0.2,4096,10,1,0.1,0.05,5,none,1
S00391,0.2,4096,10,1,0.1,0.05,5,none,10
S00392,0.2,4096,10,1,0.1,0.05,5,none,50
S00393,0.2,4096,10,1,0.1,0.05,5,full,1
S00394,0.2,4096,10,1,0.1,0.05,5,full,10
S00395,0.2,4096,10,1,0.1,0.05,5,full,50
S00396,0.2,4096,10,1,0.1,0.5,0,none,1
S00397,0.2,4096,10,1,0.1,0.5,0,none,10
S00398,0.2,4096,10,1,0.1,0.5,0,none,50
S00399,0.2,4096,10,1,0.1,0.5,0,full,1
S00400,0.2,4096,10,1,0.1,0.5,0,full,10
S00401,0.2,4096,10,1,0.1,0.5,0,full,50
S00402,0.2,4096,10,1,0.1,0.5,5,none,1
S00403,0.2,4096,10,1,0.1,0.5,5,none,10
S00404,0.2,4096,10,1,0.1,0.5,5,none,50
S00405,0.2,4096,10,1,0.1,0.5,5,full,1
S00406,0.2,4096,10,1,0.1,0.5,5,full,10
S00407,0.2,4096,10,1,0.1,0.5,5,full,50
S00408,0.2,4096,10,1,0.9,0.05,0,none,1
S00409,0.2,4096,10,1,0.9,0.05,0,none,10
S00410,0.2,4096,10,1,0.9,0.05,0,none,50
S00411,0.2,4096,10,1,0.9,0.05,0,full,1
S00412,0.2,4096,10,1,0.9,0.05,0,full,10
S00413,0.2,4096,10,1,0.9,0.05,0,full,50
S00414,0.2,4096,10,1,0.9,0.05,5,none,1
S00415,0.2,4096,10,1,0.9,0.05,5,none,10
S00416,0.2,4096,10,1,0.9,0.05,5,none,50
S00417,0.2,4096,10,1,0.9,0.05,5,full,1
S00418,0.2,4096,10,1,0.9,0.05,5,full,10
S00419,0.2,4096,10,1,0.9,0.05,5,full,50
S00420,0.2,4096,10,1,0.9,0.5,0,none,1
S00421,0.2,4096,10,1,0.9,0.5,0,none,10
S00422,0.2,4096,10,1,0.9,0.5,0,none,50
S00423,0.2,4096,10,1,0.9,0.5,0,full,1
S00424,0.2,4096,10,1,0.9,0.5,0,full,10
S00425,0.2,4096,10,1,0.9,0.5,0,full,50
S00426,0.2,4096,10,1,0.9,0.5,5,none,1
S00427,0.2,4096,10,1,0.9,0.5,5,none,10
S00428,0.2,4096,10,1,0.9,0.5,5,none,50
S00429,0.2,4096,10,1,0.9,0.5,5,full,1
S00430,0.2,4096,10,1,0.9,0.5,5,full,10
S00431,0.2,4096,10,1,0.9,0.5,5,full,50
S00432,0.2,4096,10,3,0.1,0.05,0,none,1
S00433,0.2,4096,10,3,0.1,0.05,0,none,10
S00434,0.2,4096,10,3,0.1,0.05,0,none,50
S00435,0.2,4096,10,3,0.1,0.05,0,full,1
S00436,0.2,4096,10,3,0.1,0.05,0,full,10
S00437,0.2,4096,10,3,0.1,0.05,0,full,50
S00438,0.2,4096,10,3,0.1,0.05,5,none,1
S00439,0.2,4096,10,3,0.1,0.05,5,none,10
S00440,0.2,4096,10,3,0.1,0.05,5,none,50
S00441,0.2,4096,10,3,0.1,0.05,5,full,1
S00442,0.2,4096,10,3,0.1,0.05,5,full,10
S00443,0.2,4096,10,3,0.1,0.05,5,full,50
S00444,0.2,4096,10,3,0.1,0.5,0,none,1
S00445,0.2,4096,10,3,0.1,0.5,0,none,10
S00446,0.2,4096,10,3,0.1,0.5,0,none,50
S00447,0.2,4096,10,3,0.1,0.5,0,full,1
S00448,0.2,4096,10,3,0.1,0.5,0,full,10
S00449,0.2,4096,10,3,0.1,0.5,0,full,50
S00450,0.2,4096,10,3,0.1,0.5,5,none,1
S00451,0.2,4096,10,3,0.1,0.5,5,none,10
S00452,0.2,4096,10,3,0.1,0.5,5,none,50
S00453,0.2,4096,10,3,0.1,0.5,5,full,1
S00454,0.2,4096,10,3,0.1,0.5,5,full,10
S00455,0.2,4096,10,3,0.1,0.5,5,full,50
S00456,0.2,4096,10,3,0.9,0.05,0,none,1
S00457,0.2,4096,10,3,0.9,0.05,0,none,10
S00458,0.2,4096,10,3,0.9,0.05,0,none,50
S00459,0.2,4096,10,3,0.9,0.05,0,full,1
S00460,0.2,4096,10,3,0.9,0.05,0,full,10
S00461,0.2,4096,10,3,0.9,0.05,0,full,50
S00462,0.2,4096,10,3,0.9,0.05,5,none,1
S00463,0.2,4096,10,3,0.9,0.05,5,none,10
S00464,0.2,4096,10,3,0.9,0.05,5,none,50
S00465,0.2,4096,10,3,0.9,0.05,5,full,1
S00466,0.2,4096,10,3,0.9,0.05,5,full,10
S00467,0.2,4096,10,3,0.9,0.05,5,full,50
S00468,0.2,4096,10,3,0.9,0.5,0,none,1
S00469,0.2,4096,10,3,0.9,0.5,0,none,10
S00470,0.2,4096,10,3,0.9,0.5,0,none,50
S00471,0.2,4096,10,3,0.9,0.5,0,full,1
S00472,0.2,4096,10,3,0.9,0.5,0,full,10
S00473,0.2,4096,10,3,0.9,0.5,0,full,50
S00474,0.2,4096,10,3,0.9,0.5,5,none,1
S00475,0.2,4096,10,3,0.9,0.5,5,none,10
S00476,0.2,4096,10,3,0.9,0.5,5,none,50
S00477,0.2,4096,10,3,0.9,0.5,5,full,1
S00478,0.2,4096,10,3,0.9,0.5,5,full,10
